customer_id,zipcode,city,state
0,44133,North Royalton,OH
1,19064,Springfield,PA
2,33428,Boca Raton,FL
3,06066,Vernon Rockville,CT
4,20886,Montgomery Village,MD
5,34221,Palmetto,FL
6,19064,Springfield,PA
7,08527,Jackson,NJ
8,24540,Danvill,VA
9,15010,Beaver Falls,PA
10,48310,Sterling Heights,MI
11,34221,Palmetto,FL
12,37312,Cleveland,TN
13,31525,Brunswick,GA
14,19454,North Wales,PA
15,33040,Key West,FL
16,34116,Naples,FL
17,95820,Sacramento,CA
18,55068,Rosemount,MN
19,08527,Jackson,NJ
20,24540,Danvill,VA
21,60062,Northbrook,IL
22,44145,Westlake,OH
23,19002,Amber,PA
24,95820,Sacramento,CA
25,08527,Jackson,NJ
26,08527,Jackson,NJ
27,95820,Sacramento,CA
28,08527,Jackson,NJ
29,08527,Jackson,NJ
30,19064,Springfield,PA